Name,Current Role,Suggested Role,Similarity Score
Taj Bradley,Setup Pitcher,Starting Pitcher,0.9983889584291348
Brandon Pfaadt,Long Reliever,Starting Pitcher,0.9983283191818368
Tony Gonsolin,Long Reliever,Starting Pitcher,0.9979920148115491
Seth Martinez,Setup Pitcher,Long Reliever,0.9977421386106217
Chris Murphy,Middle Reliever,Long Reliever,0.9968448229300297
Joan Adon,Starting Pitcher,Long Reliever,0.996782351473764
Luis Severino,Setup Pitcher,Starting Pitcher,0.9966177900966101
Tucker Davidson,Starting Pitcher,Long Reliever,0.9965370502642589
GA©nesis Cabrera,Setup Pitcher,Closer,0.9964767543641064
Seranthony DomA­nguez,Middle Reliever,Closer,0.996403039563597
Jose Hernandez,Setup Pitcher,Closer,0.9963371732723446
Luis Medina,Long Reliever,Starting Pitcher,0.9962241516427613
Sam Long,Middle Reliever,Long Reliever,0.995662807161445
JosA© Ruiz,Setup Pitcher,Long Reliever,0.995412441575663
Daniel Lynch IV,Starting Pitcher,Long Reliever,0.9953971556597575
Roansy Contreras,Starting Pitcher,Long Reliever,0.9953563392966325
Cal Quantrill,Middle Reliever,Starting Pitcher,0.9952937279480183
Nate Pearson,Setup Pitcher,Middle Reliever,0.9950889773944785
JosA© Cisnero,Setup Pitcher,Closer,0.9949360678665294
Michael Lorenzen,Setup Pitcher,Starting Pitcher,0.994385478291844
Ron Marinaccio,Setup Pitcher,Closer,0.9941973874754019
Michael Rucker,Middle Reliever,Long Reliever,0.9939121975139703
Mason Thompson,Setup Pitcher,Long Reliever,0.9938549670085258
Rafael Montero,Setup Pitcher,Starting Pitcher,0.9937232349232323
Andrew Chafin,Setup Pitcher,Closer,0.9937023244399729
Peter Lambert,Starting Pitcher,Middle Reliever,0.9931084682613214
Aaron Loup,Middle Reliever,Long Reliever,0.9931000368330641
Jesse Scholtens,Setup Pitcher,Long Reliever,0.9929408009654199
Mason Englert,Setup Pitcher,Long Reliever,0.9929367450011197
Jorge LA3pez,Setup Pitcher,Long Reliever,0.9929335712112114
Dominic Leone,Setup Pitcher,Long Reliever,0.9929292692644246
Ken Waldichuk,Starting Pitcher,Setup Pitcher,0.9928647988356881
Trevor Gott,Middle Reliever,Closer,0.9925163464130757
Brandon Bielak,Middle Reliever,Starting Pitcher,0.9924956687405173
Phil Bickford,Middle Reliever,Starting Pitcher,0.9922965300393617
Ryan Feltner,Starting Pitcher,Long Reliever,0.9922657092465433
Taylor Clarke,Setup Pitcher,Long Reliever,0.992119227706566
AndrA©s Machado,Setup Pitcher,Long Reliever,0.9919234302489373
Trevor Williams,Long Reliever,Starting Pitcher,0.9918159978335268
Jared Shuster,Starting Pitcher,Long Reliever,0.9917541067356891
Erasmo RamA­rez,Setup Pitcher,Long Reliever,0.9917104393145404
Jovani Moran,Middle Reliever,Setup Pitcher,0.9916609335446035
James Kaprielian,Middle Reliever,Long Reliever,0.991412971856503
Albert Abreu,Setup Pitcher,Long Reliever,0.9913936465212588
Drew VerHagen,Setup Pitcher,Closer,0.99134762127186
JosA© Butto,Starting Pitcher,Setup Pitcher,0.9911995581161621
Shintaro Fujinami,Setup Pitcher,Closer,0.9911887942340155
Michael Kopech,Setup Pitcher,Starting Pitcher,0.9911792421552384
Scott McGough,Setup Pitcher,Starting Pitcher,0.9910546255055883
Xzavion Curry,Starting Pitcher,Middle Reliever,0.9909511657813459
Patrick Sandoval,Setup Pitcher,Starting Pitcher,0.9907836994769923
JP Sears,Middle Reliever,Starting Pitcher,0.99077712634629
Carlos HernA¡ndez,Middle Reliever,Closer,0.9906892488007236
Corey Kluber,Starting Pitcher,Long Reliever,0.9905813266759657
Jose Cuas,Middle Reliever,Closer,0.9904661904398651
Cory Abbott,Middle Reliever,Long Reliever,0.990177203192675
Jordan Lyles,Long Reliever,Starting Pitcher,0.9891383978560038
Tim Hill,Setup Pitcher,Long Reliever,0.9887464995668749
Carlos RodA3n,Starting Pitcher,Long Reliever,0.9885913682333086
Hogan Harris,Middle Reliever,Setup Pitcher,0.9876583093680925
Kyle Muller,Middle Reliever,Long Reliever,0.9874386047949687
Aaron Bummer,Setup Pitcher,Closer,0.987421727850924
Connor Seabold,Starting Pitcher,Long Reliever,0.9872605793264596
JosA© UreA±a,Middle Reliever,Long Reliever,0.9855337943906647
Chase Silseth,Starting Pitcher,Setup Pitcher,0.9831469348093418
Drew Rom,Starting Pitcher,Long Reliever,0.9827721420599217
Jimmy Lambert,Middle Reliever,Long Reliever,0.9816292849393883
Xzavion Curry,Starting Pitcher,Setup Pitcher,0.9802909970104303
Daniel Bard,Closer,Long Reliever,0.9774584998666945
Thaddeus Ward,Setup Pitcher,Long Reliever,0.9765354381659401
Brad Keller,Starting Pitcher,Long Reliever,0.9763517607934423
Ronel Blanco,Setup Pitcher,Long Reliever,0.9762459653756559
Spencer Turnbull,Starting Pitcher,Setup Pitcher,0.9756936372314857
Connor Seabold,Starting Pitcher,Setup Pitcher,0.9727303234818
Jackson Kowar,Closer,Setup Pitcher,0.9716107720561192
Zack Littell,Setup Pitcher,Closer,0.9703094314747951
Luis Medina,Long Reliever,Setup Pitcher,0.967562632056577
Peter Lambert,Starting Pitcher,Setup Pitcher,0.9647862903004881
Hogan Harris,Middle Reliever,Setup Pitcher,0.9636851089445393
Dylan Dodd,Starting Pitcher,Long Reliever,0.963472756412678
Jaime Barria,Long Reliever,Setup Pitcher,0.9630261693813372
Andrew SuA¡rez,Setup Pitcher,Long Reliever,0.9573064232060322
Stephen Nogosek,Long Reliever,Setup Pitcher,0.9562880800154315
Thomas Hatch,Middle Reliever,Setup Pitcher,0.9472567421810495
Casey Lawrence,Middle Reliever,Setup Pitcher,0.9461796889819684
Cole Ragans,Starting Pitcher,Setup Pitcher,0.9461759554625089
Keegan Akin,Middle Reliever,Setup Pitcher,0.9436845719921106
Amir Garrett,Closer,Setup Pitcher,0.9428943255171996
Cole Sands,Closer,Setup Pitcher,0.9425935010491834
Matt Barnes,Closer,Setup Pitcher,0.9386153741832539
Luis Cessa,Setup Pitcher,Long Reliever,0.9323226819214093
Dany JimA©nez,Closer,Setup Pitcher,0.9317530054456058
JosA© Suarez,Middle Reliever,Long Reliever,0.9286106504526644
Chris Flexen,Starting Pitcher,Setup Pitcher,0.9247438573734089
Karl Kauffmann,Middle Reliever,Setup Pitcher,0.9245237019541719
Tommy Hunter,Middle Reliever,Setup Pitcher,0.9163978405289114
Connor Phillips,Starting Pitcher,Setup Pitcher,0.9130691478934955
Jackson Rutledge,Starting Pitcher,Setup Pitcher,0.9118706120467581
Tommy Doyle,Middle Reliever,Setup Pitcher,0.905537460241992
Trey Wingenter,Closer,Setup Pitcher,0.9055046105317095
Luis PatiA±o,Middle Reliever,Setup Pitcher,0.9031239522236265
Hobie Harris,Middle Reliever,Setup Pitcher,0.8992309483096629
Dakota Hudson,Long Reliever,Setup Pitcher,0.8973814669544823
Kyle Muller,Middle Reliever,Setup Pitcher,0.8938590624719186
Justin Garza,Middle Reliever,Setup Pitcher,0.8918289264959753
Collin Snider,Middle Reliever,Setup Pitcher,0.8893635605340954
Ian Kennedy,Closer,Setup Pitcher,0.8836303688034746
Reiver Sanmartin,Starting Pitcher,Setup Pitcher,0.875261022935513
Tayler Scott,Middle Reliever,Setup Pitcher,0.8727994621339745
Dylan Coleman,Middle Reliever,Setup Pitcher,0.8701344819505693
Triston McKenzie,Closer,Setup Pitcher,0.8677079499477041
Luis L. Ortiz,Starting Pitcher,Setup Pitcher,0.865116589231568
